fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.24,0.443,0.401,1.2,0.0588,19.3,18.5,0.99764,3.402,0.851,11.73,5
7.96,0.525,0.091,1.75,0.012,36.5,54.1,0.99552,3.397,0.507,11.16,5
7.46,0.626,0.0,4.43,0.012,23.4,56.6,1.00071,3.107,0.663,11.65,7
7.29,0.529,0.207,2.73,0.1764,10.5,81.7,0.99616,3.288,0.488,9.84,5
9.8,0.45,0.229,1.2,0.161,15.8,49.5,0.99852,3.251,0.728,11.74,4
8.94,0.508,0.368,6.85,0.0599,31.6,54.7,0.9958,3.327,0.965,9.64,5
7.11,0.512,0.167,6.08,0.1297,24.0,43.0,0.99546,3.392,0.455,10.48,5
9.89,0.462,0.371,1.2,0.1108,31.5,6.0,1.00031,3.232,0.775,9.88,5
8.85,0.482,0.648,1.2,0.1163,10.8,39.9,0.99649,3.238,0.836,9.93,5
9.73,0.814,0.43,3.38,0.02,8.4,48.5,0.99664,3.416,0.506,8.58,5
9.42,0.628,0.262,4.39,0.012,8.6,31.9,0.99724,3.137,0.732,8.4,5
6.88,0.475,0.235,8.59,0.1426,11.7,6.0,1.00164,3.196,0.597,11.68,6
7.35,0.653,0.201,5.51,0.012,4.7,9.1,1.00082,3.312,0.637,8.5,6
9.62,0.468,0.501,2.29,0.08,19.0,45.2,0.99914,3.45,0.591,10.69,4
9.38,0.738,0.149,1.89,0.0697,19.1,77.2,1.00212,3.162,0.62,9.03,4
8.28,0.594,0.28,1.2,0.0654,29.9,101.8,0.99491,3.587,0.854,9.51,5
8.52,0.509,0.281,1.2,0.1018,1.0,40.4,0.99795,3.103,0.645,11.15,6
10.54,0.608,0.173,1.54,0.0552,6.0,22.9,0.99684,3.55,0.556,10.59,5
7.29,0.247,0.003,2.48,0.1056,24.3,34.2,0.99334,3.496,0.67,10.28,5
9.27,0.326,0.334,2.04,0.0936,17.8,12.0,0.99758,3.091,0.33,11.64,5
7.97,0.314,0.259,3.39,0.1856,16.3,72.4,0.99577,3.06,0.519,10.11,6
7.94,0.554,0.369,1.2,0.0219,29.1,116.8,0.99961,3.422,0.87,11.74,4
10.23,0.838,0.167,2.08,0.0884,5.3,23.7,0.99595,3.253,0.633,9.28,3
9.76,0.927,0.509,1.2,0.1073,8.2,7.3,0.99584,3.156,0.577,9.15,5
9.74,0.642,0.1,1.33,0.0749,7.0,79.6,0.99961,3.59,0.687,10.27,5
10.59,0.618,0.605,3.47,0.0242,1.0,56.9,0.99658,3.127,0.783,10.42,4
8.36,0.206,0.0,2.96,0.1461,17.3,57.5,0.99891,3.199,0.884,9.5,6
9.51,0.431,0.356,11.68,0.1028,10.4,98.7,0.99751,3.217,0.581,10.12,5
7.78,0.387,0.364,1.2,0.0275,8.2,6.0,0.99753,2.88,0.585,11.88,6
8.88,0.417,0.116,1.72,0.1076,6.3,6.0,0.99624,3.325,0.62,10.0,5
8.09,0.498,0.354,1.2,0.167,15.7,41.1,0.99765,3.171,0.833,8.4,5
8.49,0.443,0.521,1.45,0.0853,7.5,48.6,0.99645,3.436,0.668,8.55,5
9.36,0.174,0.0,4.86,0.0869,18.2,34.8,0.99517,3.456,1.026,12.65,7
6.9,0.662,0.369,2.88,0.1607,20.7,127.4,0.9965,3.347,0.631,11.97,5
11.96,0.336,0.0,5.35,0.0414,12.8,36.3,0.99915,3.348,0.958,9.95,6
6.57,0.571,0.083,1.2,0.1682,12.1,28.4,0.99772,3.336,0.506,11.29,5
6.21,0.899,0.589,5.17,0.1327,17.8,50.6,0.99816,3.203,0.422,10.7,5
10.34,0.363,0.158,1.2,0.0436,15.6,78.4,0.9967,3.216,0.641,11.78,6
9.7,0.12,0.042,5.49,0.0556,29.8,22.6,0.99302,3.515,0.852,9.27,7
9.41,0.477,0.232,1.2,0.0623,19.2,41.6,0.99438,3.424,0.577,9.3,5
9.41,0.725,0.674,1.2,0.012,27.3,79.3,0.99615,3.343,0.553,11.83,6
8.3,0.879,0.0,1.79,0.0992,22.3,81.2,0.99454,3.403,0.832,8.82,5
6.76,0.308,0.066,7.06,0.0457,2.1,53.6,0.9957,3.302,0.778,10.49,6
8.45,0.617,0.563,1.2,0.1009,10.0,126.0,0.99563,3.339,0.523,10.37,4
7.14,0.445,0.633,1.2,0.0263,15.4,111.6,0.99569,3.403,0.513,11.26,5
10.02,0.509,0.251,4.85,0.1304,25.0,6.0,0.99943,2.992,0.799,10.57,7
8.06,1.001,0.029,1.26,0.1217,36.0,6.0,0.9966,3.451,0.381,10.28,4
6.88,0.259,0.68,1.2,0.0538,10.8,72.6,0.99848,3.439,0.842,10.01,6
7.76,0.573,0.582,1.38,0.1039,16.4,91.4,0.99701,3.191,0.776,9.36,4
9.04,0.612,0.403,1.22,0.0909,24.2,39.1,0.99939,3.503,0.33,10.24,6
7.34,0.722,0.113,6.18,0.1567,15.3,29.9,0.99864,2.97,0.661,11.67,5
6.89,0.546,0.261,3.59,0.0385,33.1,19.5,0.99558,3.365,0.33,10.11,5
8.74,0.583,0.24,1.76,0.0798,1.8,8.0,1.00043,3.317,0.453,11.92,5
8.75,0.458,0.336,11.14,0.0569,23.0,83.9,0.99584,3.263,0.572,11.2,6
7.44,0.576,0.554,1.57,0.0891,22.9,33.9,0.99708,3.314,0.442,10.93,5
7.5,0.467,0.442,1.2,0.1121,27.9,56.4,0.99742,3.401,1.035,10.25,6
8.72,0.639,0.061,1.2,0.0564,16.5,6.0,0.99763,3.033,0.805,9.75,6
5.8,0.462,0.539,1.43,0.0699,25.2,79.4,0.99821,3.465,0.89,12.22,6
5.87,0.596,0.332,1.2,0.1324,13.3,65.8,0.99526,3.248,0.634,11.27,6
7.07,0.523,0.405,7.37,0.1508,7.5,6.0,0.99805,3.467,0.663,10.27,6
7.95,0.73,0.557,3.64,0.1102,6.0,55.0,0.9978,3.41,0.927,12.24,5
8.86,0.519,0.054,1.2,0.0805,1.0,46.6,0.9967,3.245,0.732,11.09,5
10.89,0.211,0.264,2.23,0.076,11.3,31.7,0.99634,3.299,0.762,8.9,7
9.81,0.754,0.167,3.2,0.1128,19.1,6.0,0.99516,3.308,0.503,9.96,5
8.04,0.366,0.0,7.09,0.0977,13.7,24.7,0.99761,3.558,0.502,11.2,6
8.29,0.411,0.339,5.33,0.012,17.9,56.4,0.99545,3.135,0.702,12.03,5
6.58,0.421,0.761,1.81,0.1139,28.8,28.4,0.99715,3.244,0.721,12.95,5
8.29,0.774,0.0,3.73,0.0466,10.5,39.2,0.99651,3.067,0.488,10.45,4
7.82,0.146,0.265,2.06,0.0204,40.3,95.7,0.99417,3.33,0.719,11.08,6
8.88,1.09,0.396,2.01,0.012,23.8,43.9,0.99493,3.215,0.45,9.77,4
6.88,0.717,0.295,1.2,0.0768,13.8,6.0,0.99747,3.234,0.66,9.47,6
9.22,0.568,0.249,1.2,0.0392,13.6,40.4,0.9957,3.54,0.414,8.62,6
10.99,0.518,0.018,1.89,0.012,5.3,49.7,0.99564,3.184,0.884,10.84,6
8.13,0.579,0.316,1.2,0.0702,15.6,19.3,0.99525,3.286,0.605,11.77,5
9.02,0.621,0.123,1.2,0.0639,1.0,70.6,0.99531,3.24,0.54,11.25,6
9.52,0.643,0.0,3.21,0.08,29.0,6.0,0.99982,3.25,0.463,10.51,4
7.62,0.627,0.504,1.2,0.0574,1.0,41.9,0.99457,3.738,0.447,11.73,4
8.71,0.544,0.458,2.26,0.173,16.3,6.0,0.9995,3.044,0.732,13.58,6
8.34,0.493,0.281,1.94,0.1113,3.9,36.7,0.99607,3.41,0.829,9.53,6
8.49,0.501,0.316,8.67,0.0635,8.5,69.8,0.99546,3.685,0.812,8.4,5
6.97,0.493,0.48,1.66,0.084,9.9,41.2,0.99743,3.477,0.895,10.79,6
8.36,0.731,0.315,1.2,0.1535,36.0,39.2,0.9968,3.318,0.955,11.58,5
9.19,0.634,0.447,2.01,0.132,4.3,47.4,0.99632,3.13,0.821,8.76,5
10.84,0.12,0.213,4.6,0.0214,25.4,49.0,0.99712,3.512,0.573,11.31,6
9.99,0.645,0.527,14.4,0.0412,28.0,69.3,0.99677,3.455,0.687,10.06,6
12.07,0.563,0.334,1.41,0.0503,1.0,69.5,0.99629,3.075,0.33,10.78,5
6.98,0.525,0.309,1.2,0.0663,9.4,93.2,0.99848,3.262,0.766,9.44,5
9.84,0.458,0.023,5.93,0.059,31.4,52.0,0.99395,3.125,0.683,9.37,6
8.64,0.729,0.327,1.2,0.0886,2.1,6.0,0.99496,2.871,0.929,9.24,4
12.13,0.698,0.109,2.39,0.1216,28.4,74.7,0.9952,3.122,0.532,11.13,5
6.91,0.39,0.147,1.3,0.1294,15.7,90.9,0.99469,3.327,0.746,9.75,5
6.86,0.601,0.112,1.2,0.0716,15.2,127.5,0.99686,3.4,0.487,10.71,6
7.28,0.354,0.063,1.2,0.012,16.6,94.2,0.99766,3.261,0.639,10.45,7
4.62,0.281,0.685,1.2,0.0381,19.5,30.3,0.99297,3.523,0.38,9.16,5
7.41,0.416,0.531,2.9,0.0626,5.9,52.6,0.9958,3.47,0.889,10.5,6
7.0,0.682,0.645,7.43,0.0285,13.1,37.6,0.99609,3.292,0.837,10.67,6
8.58,0.699,0.033,1.2,0.1406,19.7,33.1,0.99616,3.272,0.578,11.56,5
8.91,0.62,0.285,4.17,0.0316,17.7,42.7,0.99426,3.37,0.703,12.02,7
11.58,0.658,0.019,1.2,0.116,19.5,88.8,0.9961,3.308,0.665,9.33,6
9.97,0.62,0.135,1.93,0.012,8.4,6.0,0.99497,3.091,0.554,10.8,4
7.32,0.413,0.092,1.2,0.1179,22.5,13.5,0.99606,3.266,0.679,8.4,6
6.76,0.605,0.513,6.8,0.0805,17.2,86.6,0.99343,3.413,0.583,11.33,6
9.18,0.671,0.194,3.63,0.1581,1.0,94.3,0.99608,3.513,0.825,11.59,5
6.02,0.663,0.479,2.68,0.0338,10.3,24.8,0.99533,3.459,0.622,8.4,5
11.51,0.741,0.389,4.34,0.0605,6.5,100.8,0.9962,3.362,1.064,10.06,4
10.37,0.655,0.72,2.61,0.0696,6.4,78.6,0.99727,3.535,0.645,9.46,5
7.5,0.591,0.0,8.68,0.0798,10.9,37.7,0.99662,3.376,0.677,10.05,5
5.34,0.72,0.517,3.13,0.0707,22.3,6.0,0.99821,3.297,0.748,9.84,7
10.68,0.523,0.495,6.46,0.0716,9.3,6.0,0.99601,3.539,0.8,10.37,5
8.12,0.37,0.081,1.82,0.0709,18.2,24.8,0.99788,3.422,0.671,11.48,4
10.47,0.499,0.467,1.2,0.012,16.5,71.5,0.99884,3.512,0.744,10.08,4
5.55,0.395,0.337,1.88,0.1337,7.7,71.6,0.99722,3.128,0.689,9.36,6
7.28,0.407,0.227,1.2,0.2215,12.3,31.1,0.99666,3.179,0.526,10.21,4
8.33,0.502,0.11,2.24,0.101,24.9,38.9,0.99749,3.185,0.48,10.15,6
8.4,0.386,0.131,1.65,0.0336,17.4,45.4,0.99729,3.339,0.777,10.33,6
7.54,0.473,0.671,2.44,0.0384,21.6,39.3,0.9986,3.592,0.916,9.75,5
9.4,0.189,0.271,1.2,0.1158,29.2,51.9,0.99821,3.136,0.381,10.81,7
6.46,0.566,0.424,1.2,0.1051,20.4,45.5,0.99823,3.45,0.414,11.8,6
8.07,0.528,0.117,1.69,0.0736,1.0,6.0,0.99678,3.126,0.412,9.06,5
8.53,0.382,0.119,7.51,0.1224,18.7,39.6,0.99735,3.637,0.79,10.9,6
9.22,0.646,0.482,1.21,0.012,9.4,45.7,0.99731,3.065,0.804,11.45,6
9.56,0.696,0.008,1.38,0.1224,34.8,79.0,0.99441,3.425,0.492,9.96,5
6.36,0.24,0.19,3.14,0.0982,20.0,19.1,0.99873,3.447,1.033,11.76,8
5.65,0.391,0.278,2.31,0.0402,9.6,53.2,0.99353,3.406,0.593,10.36,4
10.54,0.39,0.293,1.2,0.0196,21.8,65.0,0.99805,3.176,0.902,9.22,5
8.9,0.36,0.236,1.32,0.0927,16.8,41.6,0.99721,3.148,0.795,9.06,5
7.02,0.676,0.348,1.2,0.1531,1.0,6.0,0.99616,3.507,0.495,11.26,5
11.02,0.493,0.406,8.46,0.0763,24.9,79.7,0.99744,3.472,0.587,11.16,4
8.52,0.481,0.414,1.2,0.0469,11.6,71.1,0.9975,3.47,0.51,12.09,6
10.37,0.169,0.079,1.2,0.096,30.7,54.0,0.99422,3.489,0.429,11.14,5
8.44,0.642,0.216,1.2,0.1726,14.6,47.8,0.99939,3.074,0.615,10.31,4
11.91,0.306,0.504,1.2,0.1073,30.9,6.0,0.99684,3.07,0.454,10.94,5
11.37,0.539,0.445,3.79,0.1124,20.3,72.0,1.0011,3.208,0.628,10.5,7
7.89,0.578,0.003,1.2,0.1445,26.1,95.4,0.9982,3.237,0.987,10.06,7
10.01,0.772,0.34,1.2,0.1092,10.7,9.8,0.99679,3.221,0.776,9.83,5
9.44,0.294,0.0,1.61,0.0503,19.6,90.7,0.99539,3.354,0.563,8.58,5
10.7,0.12,0.28,1.2,0.012,1.0,83.7,0.99649,3.483,0.549,9.63,6
6.64,0.561,0.641,1.2,0.0437,14.5,8.9,0.99698,3.266,0.59,10.4,6
9.51,0.85,0.086,4.12,0.0351,1.0,33.5,0.99948,3.185,1.01,8.4,6
10.16,0.75,0.108,3.69,0.118,3.9,6.0,0.99903,3.436,0.473,9.87,3
5.26,0.566,0.42,6.17,0.1245,6.6,44.3,0.99756,3.268,0.658,11.41,6
6.26,0.44,0.0,4.82,0.0953,22.8,61.2,1.00006,3.328,0.737,11.86,4
4.77,0.672,0.148,2.87,0.0274,14.3,6.0,0.99287,3.26,0.865,9.86,5
7.85,0.354,0.387,1.2,0.171,16.2,59.2,0.99758,3.363,0.601,9.82,5
9.57,0.613,0.147,3.82,0.0674,14.0,67.5,0.99909,3.155,0.494,9.65,5
10.93,0.618,0.225,4.67,0.1154,27.2,68.0,0.99774,3.423,0.707,9.82,5
8.45,0.718,0.416,4.01,0.0893,15.9,61.4,0.99417,3.306,0.881,11.64,6
11.15,1.022,0.353,1.78,0.0968,18.5,6.1,0.99934,3.193,0.612,12.16,5
5.92,0.598,0.323,1.2,0.1137,9.9,42.5,0.99815,3.393,0.515,8.61,3
5.36,0.437,0.205,4.67,0.0543,27.9,58.1,0.99735,3.193,0.677,9.55,6
8.22,0.523,0.343,3.25,0.1484,28.7,94.5,0.99687,3.2,0.382,8.43,5
8.99,0.211,0.247,9.88,0.0128,15.5,46.6,1.00049,3.126,0.621,10.39,7
8.26,0.404,0.36,1.2,0.0382,9.8,60.5,0.99754,3.049,0.858,9.9,7
4.72,0.455,0.174,1.2,0.1477,1.0,15.8,0.99624,3.393,0.807,10.8,6
8.16,0.434,0.235,1.2,0.1147,6.8,8.5,0.99516,3.491,0.634,11.13,7
6.05,0.555,0.078,3.93,0.2064,1.0,6.0,0.99814,3.242,0.94,11.01,5
9.49,0.381,0.264,1.2,0.0902,6.3,32.6,0.99857,3.188,0.983,8.66,4
8.96,0.729,0.113,1.2,0.1669,19.6,114.3,0.99681,3.032,0.771,10.39,5
6.68,0.528,0.054,15.5,0.012,15.3,33.2,0.99564,2.976,0.408,8.61,5
7.43,0.526,0.321,1.2,0.0206,40.2,58.5,0.99923,3.423,0.338,12.28,5
6.48,0.469,0.312,4.51,0.1291,12.0,64.8,0.99501,3.007,0.893,10.04,5
8.21,0.556,0.424,1.2,0.012,11.2,10.6,1.00044,3.135,0.7,8.96,6
9.98,0.676,0.187,4.61,0.0777,27.0,32.2,0.9953,3.355,0.936,9.84,5
6.6,0.373,0.351,2.02,0.1419,1.0,67.0,0.99427,3.325,0.43,10.64,5
9.2,0.41,0.378,5.8,0.1106,1.0,60.6,0.99451,3.361,0.631,11.2,5
7.4,0.474,0.358,6.52,0.0875,22.8,6.0,0.99459,3.312,0.833,11.81,5
6.94,0.287,0.11,1.2,0.0659,13.8,66.0,0.99625,3.256,0.534,10.49,4
8.13,0.381,0.3,1.2,0.0965,14.1,28.3,0.99581,3.136,0.831,10.06,7
6.52,0.443,0.342,1.2,0.1141,6.1,29.2,0.99865,3.213,0.637,11.15,5
7.36,0.685,0.272,2.77,0.0559,18.4,59.8,0.99838,3.266,0.663,11.12,6
6.24,0.575,0.0,5.48,0.1045,7.4,96.6,0.99628,3.02,0.457,10.55,4
11.74,0.563,0.302,1.54,0.1377,16.6,39.9,1.0026,3.19,0.701,11.29,5
8.38,0.68,0.702,2.33,0.0765,3.8,85.3,0.99625,3.254,1.031,9.77,6
7.1,0.503,0.201,1.2,0.0902,14.0,6.0,0.9965,3.205,0.724,10.39,7
8.69,0.598,0.129,4.09,0.1097,37.1,50.8,0.99427,3.258,0.523,8.4,4
8.12,0.51,0.344,8.55,0.1129,11.4,28.7,0.99655,3.414,0.895,11.91,5
7.94,0.575,0.332,1.2,0.1283,14.5,55.7,0.99727,3.433,0.529,9.89,4
9.39,0.424,0.504,1.71,0.0393,13.8,36.7,0.99445,3.544,0.951,11.91,6
9.64,0.12,0.026,1.2,0.0621,17.7,6.0,0.99575,3.079,0.441,9.72,5
7.4,0.504,0.414,2.05,0.0639,20.8,17.3,0.99732,3.246,0.704,10.74,4
7.32,0.783,0.386,1.75,0.0445,18.6,6.0,0.9957,3.5,0.917,10.48,6
7.84,0.694,0.243,1.2,0.012,18.8,6.0,0.99531,3.042,0.511,9.78,5
4.6,0.701,0.337,1.46,0.012,14.0,62.3,0.99819,3.13,0.672,10.93,4
5.68,0.749,0.472,1.2,0.1432,16.9,38.2,0.99426,3.216,0.855,11.79,5
10.7,0.544,0.441,1.84,0.014,13.6,54.1,0.99463,3.626,0.33,12.34,5
11.18,0.563,0.048,2.2,0.1606,1.0,106.2,0.99704,3.161,0.816,11.21,6
7.89,0.417,0.431,1.2,0.1218,43.4,36.7,0.99831,3.478,0.643,9.13,3
9.32,0.471,0.258,3.58,0.0679,23.5,67.3,0.99728,3.307,0.903,8.92,6
8.86,0.638,0.285,3.12,0.116,5.6,47.4,0.99627,3.134,0.517,11.64,6
13.68,0.743,0.285,1.2,0.107,18.3,137.4,0.99612,3.742,0.422,9.35,4
10.27,0.503,0.242,1.2,0.0352,1.8,6.0,0.99862,3.341,0.566,11.08,5
8.1,0.447,0.503,3.52,0.0863,10.7,22.9,0.99833,3.369,0.562,10.56,6
6.66,0.528,0.255,7.76,0.0409,1.0,68.0,0.99679,3.393,0.623,11.83,6
5.52,0.636,0.053,1.2,0.1177,15.3,21.7,0.99617,3.381,0.578,10.97,6
8.67,0.27,0.194,1.2,0.0534,1.0,65.1,0.99677,3.642,0.33,10.39,5
7.0,0.12,0.306,1.2,0.0825,19.9,44.5,0.99532,3.586,0.642,12.63,7
5.85,0.429,0.511,2.15,0.0804,23.0,74.9,0.99641,3.168,0.697,11.3,6
7.19,0.309,0.389,1.2,0.0927,7.2,9.2,0.99577,3.622,0.625,11.01,6
6.44,0.437,0.105,1.2,0.1651,17.6,52.2,0.99651,3.203,0.707,9.69,4
11.26,0.502,0.756,2.99,0.0757,6.7,61.8,0.99584,3.361,0.672,9.19,5
9.85,0.447,0.323,2.05,0.1442,21.2,50.8,0.9977,3.087,0.423,10.14,5
8.31,0.788,0.52,1.22,0.1096,8.7,51.4,0.99825,3.471,0.607,8.82,4
10.9,0.586,0.241,1.36,0.1537,24.1,86.0,0.99598,3.264,0.677,10.08,6
8.45,0.582,0.375,2.06,0.0711,1.0,6.0,0.99516,3.134,0.618,11.28,4
6.82,0.639,0.435,1.2,0.1197,5.4,50.6,0.99805,3.494,0.404,11.47,6
10.97,0.324,0.509,1.2,0.0842,4.3,6.7,0.99705,3.532,0.866,10.05,4
9.26,0.714,0.477,5.33,0.012,18.0,71.4,0.996,3.537,0.493,13.56,6
6.52,0.514,0.441,1.2,0.0358,21.7,18.9,0.99931,3.076,0.447,11.78,6
7.99,0.648,0.21,3.07,0.1144,18.8,6.0,0.99563,3.553,0.665,10.39,4
6.8,0.336,0.16,6.32,0.1113,10.5,72.2,0.99291,3.265,0.604,11.64,6
5.91,0.25,0.336,1.2,0.0261,1.0,37.6,0.99535,3.627,0.76,9.8,6
9.93,0.674,0.453,1.2,0.0974,16.3,58.2,0.99977,3.407,0.806,10.69,5
11.64,0.595,0.228,2.1,0.1107,24.1,93.4,0.9961,3.35,0.78,10.03,5
5.89,0.367,0.479,5.34,0.0854,43.9,58.7,0.99572,3.312,0.658,9.12,5
9.3,0.372,0.554,7.11,0.1213,11.4,52.0,0.99675,3.309,0.752,10.99,4
7.19,0.729,0.092,3.36,0.1149,8.9,44.9,0.99862,3.206,0.393,10.41,4
7.47,0.315,0.108,1.2,0.0853,19.2,8.7,0.99654,3.147,0.844,10.49,6
7.29,0.822,0.244,2.77,0.063,13.2,39.4,0.99782,3.255,0.589,10.39,4
6.82,0.367,0.331,1.32,0.136,29.2,111.4,0.99634,3.494,0.993,9.46,5
8.4,0.642,0.169,1.59,0.1088,7.4,34.1,0.99784,3.096,0.849,12.12,7
6.87,0.469,0.535,1.2,0.0221,13.3,41.3,0.99704,3.517,0.624,10.69,5
8.79,0.636,0.354,1.2,0.0974,25.0,87.8,0.99594,3.333,0.662,10.13,5
8.23,0.431,0.279,3.91,0.0329,19.1,6.0,0.99719,3.431,0.859,9.02,6
7.9,0.499,0.0,1.51,0.0417,28.0,66.9,0.99567,3.439,0.33,11.92,5
6.74,0.535,0.014,1.2,0.0564,11.3,6.0,0.99408,3.454,0.631,11.4,6
7.32,0.349,0.326,1.21,0.0891,29.1,59.6,0.99666,3.314,0.947,10.42,7
9.63,0.661,0.0,4.82,0.1046,1.0,45.7,0.99425,3.319,0.802,9.05,5
9.19,0.436,0.468,3.46,0.0678,1.0,66.6,0.99784,3.449,0.516,12.2,7
6.62,0.487,0.24,1.2,0.0698,29.2,13.2,0.99663,3.151,0.711,10.03,4
8.49,0.35,0.903,1.2,0.0633,15.9,28.9,0.9994,3.127,0.492,9.7,4
9.63,0.12,0.721,1.2,0.1362,25.5,68.3,0.99607,3.239,0.6,10.37,5
5.42,0.494,0.236,6.34,0.012,16.9,29.7,0.99666,3.355,0.715,10.82,5
9.27,0.96,0.25,2.18,0.0725,15.8,71.3,0.99391,3.607,0.745,10.24,4
7.17,0.668,0.465,1.91,0.1596,2.0,53.4,0.9946,3.318,0.782,8.4,5
9.31,0.525,0.603,2.27,0.1113,15.6,31.8,0.99351,3.619,0.868,10.69,6
6.99,0.481,0.0,1.2,0.1465,30.1,36.1,0.99875,3.39,0.455,11.41,5
5.18,0.532,0.0,4.11,0.012,16.5,46.6,0.99583,3.241,0.662,9.47,5
5.49,0.626,0.15,1.85,0.0286,23.0,39.2,0.99922,3.488,0.513,12.09,5
8.4,0.317,0.385,1.2,0.1112,22.7,70.5,0.99161,3.274,0.59,11.36,5
8.77,0.727,0.368,1.2,0.1599,5.3,34.3,0.99964,3.35,0.53,10.92,6
6.75,0.656,0.48,1.92,0.0334,24.8,27.6,0.99657,3.105,0.743,9.33,4
9.43,0.657,0.037,6.89,0.0688,12.6,76.4,0.99735,3.079,0.837,10.72,6
5.43,0.606,0.0,1.2,0.1059,13.2,32.6,0.99468,3.396,0.846,10.8,7
8.21,0.532,0.438,5.09,0.0187,37.8,28.7,0.9977,3.481,0.47,10.33,6
6.21,0.648,0.11,3.61,0.1115,22.1,6.0,0.99599,3.611,0.637,11.37,4
7.19,0.634,0.0,1.2,0.012,9.2,12.3,0.99443,3.186,0.465,10.03,4
8.4,0.465,0.299,1.2,0.1101,16.5,18.9,0.99441,3.536,0.46,10.13,6
6.82,0.425,0.426,1.2,0.0402,16.3,28.7,0.99437,3.513,0.546,9.71,5
7.65,0.546,0.247,3.26,0.066,33.5,22.7,0.99742,3.235,0.716,9.94,5
10.07,0.805,0.182,1.2,0.1176,16.3,78.8,0.99549,3.525,0.746,10.26,5
7.32,0.306,0.24,1.2,0.108,39.0,21.0,0.99358,3.456,0.769,10.22,5
9.77,0.265,0.199,1.74,0.0866,2.3,23.4,0.9974,3.487,0.759,10.17,6
6.35,0.557,0.008,3.23,0.1325,15.5,51.6,0.99257,3.645,0.514,11.41,4
9.24,0.537,0.132,1.2,0.012,7.9,10.2,0.99923,3.481,0.859,12.03,7
10.83,0.559,0.373,1.3,0.0966,10.7,97.9,1.00047,2.982,0.795,9.05,4
4.6,0.572,0.334,1.66,0.0499,10.9,72.9,0.99421,3.361,0.588,12.0,6
6.93,0.488,0.304,1.95,0.1301,8.4,8.0,0.9987,3.07,0.594,11.14,5
9.32,0.795,0.077,4.26,0.1193,34.0,79.8,0.99736,3.334,0.546,9.46,5
7.97,0.241,0.236,1.2,0.121,30.7,86.7,0.99575,3.325,0.438,10.07,6
8.97,0.38,0.0,4.12,0.1643,20.1,8.9,0.99584,3.221,0.771,10.72,6
7.27,0.51,0.306,2.95,0.1399,10.9,8.1,0.99794,3.153,0.798,8.65,4
8.47,0.234,0.55,2.03,0.0796,8.7,26.4,0.99662,3.229,0.501,10.33,5
8.05,0.497,0.0,3.01,0.0869,23.6,6.0,0.99177,3.259,0.449,10.98,7
10.35,0.825,0.157,1.33,0.1152,19.0,20.8,1.00064,3.291,0.499,9.62,5
8.76,0.532,0.335,1.2,0.0934,14.4,33.3,0.99752,3.327,0.677,8.84,5
8.91,0.569,0.515,2.74,0.1201,21.5,63.1,0.9966,3.401,0.423,10.63,4
7.6,0.302,0.184,1.86,0.012,25.2,49.1,0.99533,3.263,0.85,12.78,5
7.47,0.418,0.136,2.55,0.1754,14.3,41.6,0.99634,3.508,0.84,9.66,6
7.57,0.461,0.0,1.2,0.0899,7.6,30.6,0.99911,3.305,0.73,9.68,5
9.01,0.471,0.291,5.93,0.012,2.1,6.0,0.9972,3.453,0.796,10.21,7
7.59,0.757,0.669,2.21,0.0441,18.5,65.9,0.99741,3.264,0.668,12.1,6
8.82,0.628,0.325,1.2,0.012,38.5,65.2,0.99433,3.734,0.737,8.65,6
11.93,0.329,0.267,1.49,0.0358,4.3,26.2,0.99604,3.383,0.437,11.24,6
9.84,0.572,0.334,3.53,0.0803,27.4,10.2,0.9968,3.563,0.894,9.92,5
7.75,0.617,0.269,3.95,0.1582,8.8,97.7,0.99802,3.204,0.575,10.01,5
10.41,0.732,0.112,1.71,0.1063,10.9,54.6,0.99591,3.242,0.636,9.34,5
7.61,0.811,0.432,5.63,0.0979,25.4,59.5,0.99846,3.272,1.081,10.15,5
4.77,0.346,0.315,1.2,0.0337,13.2,61.0,0.99453,3.692,0.621,9.37,4
6.57,0.383,0.274,1.32,0.0482,18.5,6.9,0.99683,3.278,0.784,9.84,4
5.06,0.303,0.081,5.72,0.0519,18.3,95.8,0.99651,3.184,0.745,8.4,6
7.71,0.486,0.525,5.66,0.0538,8.8,33.2,0.99382,3.511,0.431,8.56,5
8.35,0.611,0.401,2.89,0.0705,25.2,73.5,0.99661,3.32,0.488,10.78,6
11.24,0.705,0.163,4.9,0.074,15.2,94.5,0.99559,3.277,1.004,11.77,5
8.89,0.514,0.466,1.2,0.0711,1.3,49.1,0.99939,3.217,0.756,13.88,6
7.94,0.471,0.174,5.01,0.0554,6.5,7.6,0.99592,3.386,0.655,11.41,6
9.76,0.555,0.119,1.2,0.0933,1.0,6.0,0.99737,3.475,0.567,9.87,6
4.6,0.379,0.123,1.2,0.0722,16.4,45.2,0.99436,3.432,0.712,8.4,5
8.73,0.902,0.0,1.2,0.012,29.5,54.7,0.99715,3.237,0.729,11.0,4
9.66,0.24,0.363,1.35,0.0886,4.9,27.4,0.99591,3.159,0.697,8.87,6
5.75,0.561,0.0,1.2,0.0815,22.0,50.9,0.99523,2.74,0.84,9.56,5
10.31,0.89,0.031,1.2,0.0128,20.4,60.6,1.00208,3.165,0.511,11.37,4
